Frame Number,Distinct States,Reward 1,Reward 2,Reward 3,Reward 4,SDs per 1000 States,Epsilon
1000,21,-0.0009800000000000006,-0.0010300000000000008,0.0,-0.0010200000000000007,0,0.998980514928347
2000,256,-0.007688776340484516,-0.0041841491063435215,0.0,-0.0070099999999999165,3,0.9929846877966649
3000,411,-0.005201223659515275,-0.006795850893656352,0.0,-0.009119999999999892,6,0.9868965417641706
4000,576,-0.0059099999999999405,-0.005869999999999917,0.0,-0.006129999999999914,4,0.9808653403257702
5000,698,-0.007039999999999915,-0.004999999999999922,0.0,-0.006869999999999897,4,0.9751147466856499
6000,792,-0.007069999999999915,-0.004859999999999938,0.0,-0.005919999999999918,2,0.9693397050691375
7000,877,-0.005029999999999915,-0.00694999999999994,0.0,-0.006959999999999895,4,0.963569958012738
8000,1005,-0.003609999999999941,-0.008169999999999915,0.0,-0.006819999999999916,2,0.9577675074949289
9000,1184,-0.004269999999999913,-0.007669999999999923,0.0,-0.0054399999999999275,2,0.9520475997518116
10000,1346,-0.0058599999999999165,-0.006139999999999917,0.0,-0.006819999999999918,3,0.946437564370694
11000,1560,-0.006879999999999901,-0.004879999999999942,0.0,-0.006837466684977125,4,0.940747689621335
12000,1647,-0.006969999999999917,-0.004979999999999917,0.0,-0.006642533315022706,2,0.9352229444523951
13000,1791,-0.006119999999999936,-0.005919999999999912,0.0,-0.007859999999999916,2,0.9296934558816707
14000,1907,-0.0037299999999999417,-0.007973333333333232,0.0,-0.005717933349609293,1,0.9241689346885364
15000,2058,-0.006129999999999914,-0.006026666666666583,0.0,-0.0063617666625975814,2,0.9185945642354837
16000,2189,-0.005889999999999941,-0.005919999999999912,0.0,-0.007800299987792869,3,0.9131177334025804
17000,2321,-0.005929999999999918,-0.005989999999999929,0.0,-0.006199999999999922,3,0.9076826332752523
18000,2479,-0.006066342163085879,-0.005530486755370991,0.0,-0.006629999999999917,2,0.9022889070825549
19000,2659,-0.004883657836913984,-0.007059513244628812,0.0,-0.006839999999999917,4,0.896918262778565
